Symbol ,Series ,LTP ,%chng ,Mkt Cap (₹ Crores),Volume (Lakhs),Value (₹ Crores)
ICICIBANK,EQ,1259.6,0.55,887801.07,135.46,1693.26
AXISBANK,EQ,1189,1.85,367833.79,127.98,1512.98
ITC,EQ,482.25,2.24,603178.95,309.57,1505.4
BEL,EQ,275.55,1.55,201420.96,404.04,1079.83
LAURUSLABS,EQ,463.65,3.66,24998.12,198.8,930.2
INFY,EQ,1866,0.14,774790.6,46.89,872.81
PNBHOUSING,EQ,946,1.24,24581.13,82.67,808.67
HCLTECH,EQ,1852,0.38,502570.78,40.78,756.32
TCS,EQ,4060,0.3,1468943.53,17.59,714.92
HINDUNILVR,EQ,2530.3,1.01,594517.08,27.61,696.43
DIVISLAB,EQ,5770.15,0.58,153179.35,10.08,582.89
KOTAKBANK,EQ,1770,0.44,351897.24,28.29,500.24
OFSS,EQ,10889,1.93,94455.85,4.32,472.2
GODREJCP,EQ,1292,2.94,132161.79,32.23,416.34
INDHOTEL,EQ,690,3.45,98216.82,59.54,404.51
SUNPHARMA,EQ,1858.1,0.5,445820.43,21.48,400.19
COFORGE,EQ,7730.8,0.41,51559.63,5.11,393.72
CYIENT,EQ,1798.3,1.17,19953.93,21.26,390.24
NMDC,EQ,217.05,0.56,63608.8,170.74,368.11
BAJAJHFL,EQ,131.7,0.3,109681.69,248.96,325.81
NAM-INDIA,EQ,680.6,0.21,43097.5,45.97,321.76
NESTLEIND,EQ,2263.8,0.23,218265.9,13.41,304.76
ASTERDM,EQ,451.95,1.92,22575.49,66.26,299.11
VBL,EQ,611.55,0.37,198672.87,45.45,275.45
CGPOWER,EQ,742,1.12,113413.82,35.92,262.84
CHALET,EQ,842.8,0.76,18393.77,27.52,238.55
LUPIN,EQ,2156.75,1.18,98378.71,10.43,223.53
BSOFT,EQ,570.9,0.33,15791.14,38.06,217.08
IDBI,EQ,82.76,1.78,88986.88,256.37,209.14
JSWENERGY,EQ,671.05,0.01,117284,29.19,190.6
DEEPAKFERT,EQ,1155,2.62,14580.47,17.39,190.18
TORNTPHARM,EQ,3433.1,3.37,116191.7,5.52,188
ASTRAL,EQ,1801.45,0.53,48391.81,9.93,177.02
BIKAJI,EQ,864,3.49,21633.02,18.99,165.87
UNITDSPR,EQ,1483.25,1.61,107884.32,11.01,162.58
THERMAX,EQ,5426.4,4.68,64658.97,2.91,155.53
PIDILITIND,EQ,3179.7,1.86,161723.84,4.8,152.63
GODREJPROP,EQ,2937,0.43,81666.84,5.14,150.1
CIGNITITEC,EQ,1515,2.72,4135.96,9.96,149.68
APOLLO,EQ,102.25,3.84,3133.86,142.51,145.32
KIRLPNU,EQ,1500.55,12.09,9729.76,10.28,143.63
MAXHEALTH,EQ,938.8,3.6,91263.76,14.73,136.62
ESCORTS,EQ,3510,0.44,39269.09,3.82,133.97
J&KBANK,EQ,98.16,4.54,10809.21,124.17,117.59
RPOWER,BE,43.18,1.94,17345.28,274.67,116.76
ORIENTCEM,EQ,337.5,0.91,6914.32,33.48,112.74
DCBBANK,EQ,116.2,5.48,3643.71,96.83,112.46
MARICO,EQ,639,0.75,82734.06,15.94,102.03
LALPATHLAB,EQ,3125.3,2.5,26119.46,3.24,100.57
M&MFIN,EQ,268.95,0.02,33229.58,37.69,99.96
BRITANNIA,EQ,5682,1.24,136861.37,1.77,99.92
TATAELXSI,EQ,7010,0.63,43659.67,1.42,99.05
LODHA,EQ,1071.05,0.56,106595.23,8.98,95.83
LTFOODS,EQ,353.85,0.47,12287.55,26.09,92.44
LIQUID1,EQ,1015.62,0.05,535.25,8.51,86.46
CUB,EQ,171.09,0.81,12672.16,50.29,85.12
NYKAA,EQ,178.4,0.26,50976.82,47.9,83.88
LIQUIDCASE,EQ,105.06,0.06,2518.62,71.7,75.32
EMBASSY,RR,390,1.31,36967.86,18.76,73.12
CAPACITE,EQ,342.9,2.11,2901.07,20.92,70.45
CANFINHOME,EQ,854,1.01,11371.36,7.52,64.18
