"SYMBOL 
","OPEN 
","HIGH 
","LOW 
","PREV. CLOSE 
","LTP 
","INDICATIVE CLOSE 
","CHNG 
","%CHNG 
","VOLUME 
(shares)","VALUE 
 (₹ Crores)","52W H 
","52W L 
","30 D   %CHNG 
","365 D % CHNG 
 25-Oct-2023"
"NIFTY 50","24,418.05","24,440.25","24,073.90","24,399.40","24,180.80","-","-218.60","-0.90","37,25,92,016","37,063.26","26,277.35","19,210.90","-5.94","27.60"
"ITC","475.80","493.50","474.20","471.70","482.25","-","10.55","2.24","3,09,58,765","1,505.46","528.50","399.35","-8.45","9.01"
"AXISBANK","1,187.00","1,201.75","1,170.00","1,167.35","1,189.00","-","21.65","1.85","1,27,98,253","1,512.98","1,339.65","951.40","-5.82","22.18"
"BEL","271.00","276.00","257.45","271.35","275.55","-","4.20","1.55","4,04,05,525","1,079.88","340.50","127.00","-7.01","106.82"
"BRITANNIA","5,612.40","5,706.45","5,610.00","5,612.40","5,682.00","-","69.60","1.24","1,76,679","99.92","6,469.90","4,347.70","-9.52","23.79"
"HINDUNILVR","2,502.30","2,540.00","2,500.10","2,505.10","2,530.30","-","25.20","1.01","27,60,987","696.43","3,035.00","2,172.05","-15.10","1.12"
"ICICIBANK","1,247.25","1,268.90","1,234.20","1,252.75","1,259.60","-","6.85","0.55","1,35,45,904","1,693.28","1,362.35","899.00","-4.99","36.75"
"SUNPHARMA","1,856.80","1,875.60","1,850.10","1,848.90","1,858.10","-","9.20","0.50","21,47,985","400.19","1,960.35","1,068.35","-1.03","65.04"
"KOTAKBANK","1,765.00","1,786.50","1,757.00","1,762.20","1,770.00","-","7.80","0.44","28,29,210","500.24","1,942.00","1,543.85","-7.96","1.98"
"HCLTECH","1,860.00","1,871.55","1,840.20","1,844.90","1,852.00","-","7.10","0.38","40,77,924","756.32","1,888.50","1,212.05","3.90","50.11"
"TCS","4,057.05","4,092.00","4,032.70","4,047.90","4,060.00","-","12.10","0.30","17,59,429","714.92","4,592.25","3,311.00","-5.23","19.40"
"NESTLEIND","2,269.00","2,286.50","2,257.00","2,258.65","2,263.80","-","5.15","0.23","13,41,317","304.76","2,778.00","2,216.00","-16.23","-90.69"
"INFY","1,863.45","1,876.35","1,846.40","1,863.35","1,866.00","-","2.65","0.14","46,88,979","872.81","1,991.45","1,351.65","-1.86","36.01"
"HDFCBANK","1,755.00","1,757.85","1,728.70","1,749.65","1,745.80","-","-3.85","-0.22","1,30,64,583","2,274.06","1,794.00","1,363.55","-1.04","16.92"
"CIPLA","1,492.30","1,506.75","1,478.80","1,492.30","1,486.65","-","-5.65","-0.38","11,75,002","174.85","1,702.05","1,132.00","-8.87","28.93"
"WIPRO","549.75","552.00","540.50","546.90","544.80","-","-2.10","-0.38","50,61,434","275.46","579.90","375.05","1.36","43.22"
"APOLLOHOSP","6,954.15","6,981.00","6,876.05","6,954.15","6,926.45","-","-27.70","-0.40","1,75,256","121.25","7,316.95","4,726.00","-2.36","43.09"
"ASIANPAINT","2,975.50","3,015.55","2,952.00","2,972.00","2,960.00","-","-12.00","-0.40","10,47,744","312.29","3,422.95","2,670.10","-8.51","-2.90"
"BHARTIARTL","1,681.10","1,684.75","1,655.85","1,678.45","1,670.75","-","-7.70","-0.46","34,33,695","573.18","1,779.00","895.45","-4.45","81.93"
"ULTRACEMCO","11,063.70","11,115.00","10,950.00","11,043.60","10,980.95","-","-62.65","-0.57","5,19,637","573.01","12,138.00","8,155.55","-6.11","33.76"
"HDFCLIFE","718.00","719.70","700.00","714.85","710.00","-","-4.85","-0.68","28,52,694","201.20","761.20","511.40","-0.81","15.96"
"JSWSTEEL","958.10","959.95","926.80","958.10","950.20","-","-7.90","-0.82","25,40,458","238.90","1,063.00","723.00","-3.19","28.04"
"RELIANCE","2,687.00","2,688.70","2,644.00","2,679.60","2,656.30","-","-23.30","-0.87","92,91,058","2,471.24","3,217.60","2,220.30","-10.04","18.67"
