Symbol ,Series ,LTP ,%chng ,New 52W/H price ,Prev.High ,Prev. High Date 
ABINFRA,ST,98,2.19,98,96.45,24-Oct-2024
ABMINTLLTD,EQ,91.03,4.99,91.03,86.7,24-Oct-2024
BLUECHIP,BE,7.78,1.97,7.78,7.63,24-Oct-2024
CARERATING,EQ,1400,-0.5,1463,1407,24-Oct-2024
COFORGE,EQ,7730.8,0.41,7787.7,7783.1,24-Oct-2024
DEEPAKFERT,EQ,1155,2.62,1171,1163.85,03-Oct-2024
DIXON,EQ,13939,-7.41,15900,15600,21-Oct-2024
DYCL,EQ,656.75,1.1,698.75,680,12-Jun-2024
EPACK,BE,434.35,-3.45,469,449.85,24-Oct-2024
GROWWGOLD,EQ,77.8,-0.64,86,78.4,24-Oct-2024
LEMERITE,ST,218.5,3.21,218.9,214,24-Oct-2024
LIQUIDCASE,EQ,105.06,0.06,108.1,108.05,21-Oct-2024
LIQUIDSBI,EQ,1000.01,0,1000.01,1000.01,24-Oct-2024
MFSL,EQ,1271,-1.3,1306.45,1303.25,24-Oct-2024
RADICO,EQ,2270,-1.14,2524,2389,24-Oct-2024
RMDRIP,ST,287.75,4.98,287.8,274.1,24-Oct-2024
SETFGOLD,EQ,67.48,-0.44,69.8,68.26,23-Oct-2024
SKYGOLD,BE,3550,-1.04,3685,3616.7,24-Oct-2024
THEINVEST,EQ,214.15,-5,236.7,225.43,24-Oct-2024
TIRUPATIFL,BE,44.69,4.98,44.69,42.57,24-Oct-2024
VISHNU,EQ,489.5,-1.58,514,513.9,24-Oct-2024
WOCKPHARMA,EQ,1068.8,-4.69,1146.8,1126.5,16-Oct-2024
YATHARTH,EQ,650,1.51,667.2,663,16-Oct-2024
